Date,Product_Name,Category,Quantity_Sold,Selling_Price,Cost_Price,Total_Sales_Value,Promotion_Type,Discount_Percentage,Start_Date,End_Date,HSN_Code,GST_Percentage
02-04-2024,Pashmina Shawl,Scarves,4,2269.99,1365.11,8922.04,Seasonal Offer,18,02-04-2024,06-04-2024,62143000,12
02-04-2024,Pearl Necklace,Jewelry,1,3336.83,2181.37,3392.94,No Promotion,0,02-04-2024,09-04-2024,71131100,3
02-04-2024,Headband,Hair Accessories,1,336.07,256.39,339.07,Festival Sale,29,02-04-2024,08-04-2024,96151900,18
02-04-2024,Gold Plated Earrings,Jewelry,2,1013.99,867.1,2008.56,Festival Sale,19,02-04-2024,06-04-2024,71131100,3
02-04-2024,Waist Belt,Belts,2,2771.37,1778.83,5533.96,No Promotion,0,02-04-2024,04-04-2024,42033000,18
02-04-2024,Round Frame,Sunglasses,1,3574.99,2172.3,3511.88,No Promotion,0,02-04-2024,09-04-2024,90041000,12
02-04-2024,Analog Watch,Watches,3,6622.13,4598.25,19954.86,No Promotion,0,02-04-2024,03-04-2024,91021100,18
02-04-2024,Western Belt,Belts,3,2477.64,1456.41,7583.58,No Promotion,0,02-04-2024,03-04-2024,42033000,18
02-04-2024,Oversized Sunglasses,Sunglasses,7,1178.56,1180.53,8411.48,Flash Sale,28,02-04-2024,09-04-2024,90041000,12
02-04-2024,Gold Plated Earrings,Jewelry,9,5152.11,2853.56,46249.02,No Promotion,0,02-04-2024,05-04-2024,71131100,3
02-04-2024,Waist Belt,Belts,2,2498.74,1140.54,4947.58,No Promotion,0,02-04-2024,05-04-2024,42033000,18
02-04-2024,Silver Bracelet,Jewelry,3,2279.33,1540.42,6759.42,Festival Sale,24,02-04-2024,07-04-2024,71131100,3
02-04-2024,Winter Wool Scarf,Scarves,6,781.15,443.1,4611,No Promotion,0,02-04-2024,09-04-2024,62143000,12
03-04-2024,Hair Clip Set,Hair Accessories,2,922.3,607.91,1864.8,Festival Sale,23,03-04-2024,06-04-2024,96151900,18
03-04-2024,Silk Scarf,Scarves,5,1003.7,458.83,4971.1,No Promotion,0,03-04-2024,07-04-2024,62143000,12
03-04-2024,Shoulder Bag,Handbags,3,7616.64,3755.57,22554.81,No Promotion,0,03-04-2024,08-04-2024,42022290,18
03-04-2024,Winter Wool Scarf,Scarves,3,1189.81,786.01,3522.06,No Promotion,0,03-04-2024,05-04-2024,62143000,12
03-04-2024,Crossbody Bag,Handbags,5,6036.49,4589.21,30289.6,Seasonal Offer,13,03-04-2024,07-04-2024,42022290,18
03-04-2024,Smart Watch,Watches,2,6770.66,4997.16,13473.42,Festival Sale,27,03-04-2024,09-04-2024,91021100,18
03-04-2024,Statement Necklace,Jewelry,5,1350.67,1061.4,6739.45,Seasonal Offer,15,03-04-2024,05-04-2024,71131100,3
03-04-2024,Turban,Hair Accessories,3,923.38,781.93,2759.37,Festival Sale,18,03-04-2024,10-04-2024,96151900,18
03-04-2024,Leather Tote Bag,Handbags,3,6720.02,3843.85,20337.39,No Promotion,0,03-04-2024,09-04-2024,42022290,18
03-04-2024,Hair Pin Set,Hair Accessories,3,620.96,401.4,1849.32,No Promotion,0,03-04-2024,06-04-2024,96151900,18
03-04-2024,Aviator Sunglasses,Sunglasses,3,2349.56,1347.62,6989.97,No Promotion,0,03-04-2024,06-04-2024,90041000,12
03-04-2024,Leather Belt,Belts,1,2513.44,1185.54,2544.39,No Promotion,0,03-04-2024,04-04-2024,42033000,18
04-04-2024,Analog Watch,Watches,3,6375.16,3195.33,19168.71,No Promotion,0,04-04-2024,09-04-2024,91021100,18
04-04-2024,Dress Watch,Watches,6,11311.2,5158.05,68079.3,No Promotion,0,04-04-2024,09-04-2024,91021100,18
04-04-2024,Hair Clip Set,Hair Accessories,1,680.74,603.02,674.03,Clearance Sale,41,04-04-2024,07-04-2024,96151900,18
04-04-2024,Pashmina Shawl,Scarves,3,2479.26,1337.4,7388.58,No Promotion,0,04-04-2024,09-04-2024,62143000,12
04-04-2024,Cat Eye Sunglasses,Sunglasses,7,2551.9,2188.07,17880.31,Clearance Sale,45,04-04-2024,11-04-2024,90041000,12
04-04-2024,Headband,Hair Accessories,3,1309.39,717.42,3904.35,Festival Sale,16,04-04-2024,06-04-2024,96151900,18
04-04-2024,Fabric Belt,Belts,4,2339.41,1411.51,9447.24,No Promotion,0,04-04-2024,05-04-2024,42033000,18
04-04-2024,Cotton Scarf,Scarves,3,2083.52,966.76,6318.21,No Promotion,0,04-04-2024,10-04-2024,62143000,12
04-04-2024,Backpack Purse,Handbags,3,2102.39,2950.96,6373.47,Clearance Sale,54,04-04-2024,07-04-2024,42022290,18
04-04-2024,Sports Watch,Watches,2,2423.33,1511.68,4939.62,Festival Sale,22,04-04-2024,06-04-2024,91021100,18
04-04-2024,Headband,Hair Accessories,4,933.99,648.48,3707.64,No Promotion,0,04-04-2024,07-04-2024,96151900,18
04-04-2024,Silk Scarf,Scarves,2,1469.63,1211.15,2883.22,Festival Sale,23,04-04-2024,08-04-2024,62143000,12
04-04-2024,Shoulder Bag,Handbags,5,4855.07,2549.4,24462.2,No Promotion,0,04-04-2024,08-04-2024,42022290,18
04-04-2024,Gold Plated Earrings,Jewelry,2,2447.12,1337.58,4811.52,No Promotion,0,04-04-2024,08-04-2024,71131100,3
04-04-2024,Round Frame,Sunglasses,1,2136.82,1040.62,2127.75,No Promotion,0,04-04-2024,09-04-2024,90041000,12
04-04-2024,Headband,Hair Accessories,1,713.9,545.6,721.84,Flash Sale,38,04-04-2024,07-04-2024,96151900,18
04-04-2024,Aviator Sunglasses,Sunglasses,7,1799.99,2049.53,12850.88,Clearance Sale,51,04-04-2024,06-04-2024,90041000,12
04-04-2024,Sports Sunglasses,Sunglasses,4,2813.01,1709.77,11152.24,Festival Sale,24,04-04-2024,09-04-2024,90041000,12
04-04-2024,Statement Necklace,Jewelry,4,1653.35,1360.21,6561.8,Flash Sale,38,04-04-2024,06-04-2024,71131100,3
04-04-2024,Sports Sunglasses,Sunglasses,1,2333.26,2069.39,2358.81,Clearance Sale,47,04-04-2024,09-04-2024,90041000,12
04-04-2024,Oversized Sunglasses,Sunglasses,7,1484.59,1161.85,10462.13,Seasonal Offer,16,04-04-2024,07-04-2024,90041000,12
04-04-2024,Leather Belt,Belts,3,2653.03,1646.65,7834.35,Seasonal Offer,12,04-04-2024,10-04-2024,42033000,18
04-04-2024,Round Frame,Sunglasses,4,2725.48,1904.33,11053.48,Seasonal Offer,13,04-04-2024,05-04-2024,90041000,12
04-04-2024,Backpack Purse,Handbags,1,3295.01,2144.26,3251.38,Festival Sale,24,04-04-2024,06-04-2024,42022290,18
04-04-2024,Backpack Purse,Handbags,2,3321.3,1620.4,6731.66,No Promotion,0,04-04-2024,08-04-2024,42022290,18
05-04-2024,Silver Bracelet,Jewelry,3,4318.77,2210.52,12965.79,No Promotion,0,05-04-2024,11-04-2024,71131100,3
05-04-2024,Cat Eye Sunglasses,Sunglasses,5,3199.96,2415.65,16000.45,Seasonal Offer,13,05-04-2024,10-04-2024,90041000,12
05-04-2024,Chain Belt,Belts,2,2851.62,1679.75,5709.62,No Promotion,0,05-04-2024,08-04-2024,42033000,18
05-04-2024,Analog Watch,Watches,7,3531.11,2009.57,24929.24,Festival Sale,19,05-04-2024,10-04-2024,91021100,18
05-04-2024,Crossbody Bag,Handbags,7,5908.06,4250.84,41768.51,No Promotion,0,05-04-2024,06-04-2024,42022290,18
05-04-2024,Cotton Scarf,Scarves,3,1233.52,897.68,3666.36,Seasonal Offer,10,05-04-2024,08-04-2024,62143000,12
05-04-2024,Cat Eye Sunglasses,Sunglasses,4,1304.06,920.95,5263.48,Festival Sale,26,05-04-2024,06-04-2024,90041000,12
05-04-2024,Analog Watch,Watches,5,4994.56,2894.72,24863.5,No Promotion,0,05-04-2024,08-04-2024,91021100,18
05-04-2024,Pearl Necklace,Jewelry,6,4478.69,2506.16,26504.64,No Promotion,0,05-04-2024,12-04-2024,71131100,3
05-04-2024,Pashmina Shawl,Scarves,1,1354.48,697.82,1336.46,No Promotion,0,05-04-2024,10-04-2024,62143000,12
05-04-2024,Leather Tote Bag,Handbags,2,3195.53,2043.49,6477.3,No Promotion,0,05-04-2024,08-04-2024,42022290,18
05-04-2024,Silk Scarf,Scarves,8,1590.7,1012.39,12647.28,Festival Sale,21,05-04-2024,12-04-2024,62143000,12
05-04-2024,Pearl Necklace,Jewelry,3,1543.09,1257.35,4610.4,Seasonal Offer,14,05-04-2024,07-04-2024,71131100,3
05-04-2024,Digital Watch,Watches,8,2837.8,3133.77,22902.16,Flash Sale,36,05-04-2024,07-04-2024,91021100,18
05-04-2024,Round Frame,Sunglasses,1,4734.9,2331.28,4755.55,No Promotion,0,05-04-2024,10-04-2024,90041000,12
05-04-2024,Leather Tote Bag,Handbags,4,3545.88,1729.55,14306.48,No Promotion,0,05-04-2024,10-04-2024,42022290,18
05-04-2024,Statement Necklace,Jewelry,5,2760.09,1895.8,13780,No Promotion,0,05-04-2024,12-04-2024,71131100,3
05-04-2024,Round Frame,Sunglasses,7,3532.17,1855.86,24428.53,No Promotion,0,05-04-2024,07-04-2024,90041000,12
05-04-2024,Scrunchie Pack,Hair Accessories,4,380.66,310.62,1500,Festival Sale,18,05-04-2024,12-04-2024,96151900,18
05-04-2024,Pashmina Shawl,Scarves,3,1514.99,836.31,4504.83,Festival Sale,17,05-04-2024,08-04-2024,62143000,12
06-04-2024,Round Frame,Sunglasses,5,1545.45,1854.95,7732.35,Clearance Sale,50,06-04-2024,07-04-2024,90041000,12
06-04-2024,Smart Watch,Watches,5,10770.75,5185.96,52884.7,No Promotion,0,06-04-2024,11-04-2024,91021100,18
06-04-2024,Crossbody Bag,Handbags,4,3901.15,3824.13,15564.84,Clearance Sale,44,06-04-2024,12-04-2024,42022290,18
06-04-2024,Crossbody Bag,Handbags,3,2603.38,3059.81,7816.86,Clearance Sale,46,06-04-2024,08-04-2024,42022290,18
06-04-2024,Chain Belt,Belts,4,1150.07,1038,4535.56,Festival Sale,27,06-04-2024,12-04-2024,42033000,18
06-04-2024,Scrunchie Pack,Hair Accessories,1,661.88,391.46,670.34,Festival Sale,17,06-04-2024,11-04-2024,96151900,18
06-04-2024,Silver Bracelet,Jewelry,1,3845.25,2331.84,3898.6,No Promotion,0,06-04-2024,11-04-2024,71131100,3
06-04-2024,Aviator Sunglasses,Sunglasses,11,3821.29,2080.57,41564.49,No Promotion,0,06-04-2024,09-04-2024,90041000,12
06-04-2024,Printed Scarf,Scarves,2,478.49,457.95,943,Festival Sale,30,06-04-2024,13-04-2024,62143000,12
06-04-2024,Crossbody Bag,Handbags,2,1981.48,1548.46,4031.86,Festival Sale,22,06-04-2024,10-04-2024,42022290,18
06-04-2024,Charm Bracelet,Jewelry,7,803.72,892.61,5567.24,Flash Sale,37,06-04-2024,10-04-2024,71131100,3
06-04-2024,Round Frame,Sunglasses,2,3741.45,2345.96,7505.58,Festival Sale,27,06-04-2024,11-04-2024,90041000,12
06-04-2024,Winter Wool Scarf,Scarves,2,524.65,532.37,1040.82,Flash Sale,32,06-04-2024,11-04-2024,62143000,12
06-04-2024,Aviator Sunglasses,Sunglasses,6,2335.81,1729.22,14222.52,Flash Sale,27,06-04-2024,12-04-2024,90041000,12
06-04-2024,Western Belt,Belts,4,2581.62,1351.76,10134.72,No Promotion,0,06-04-2024,07-04-2024,42033000,18
06-04-2024,Silk Scarf,Scarves,5,1939.41,1337.41,9551.4,No Promotion,0,06-04-2024,08-04-2024,62143000,12
06-04-2024,Charm Bracelet,Jewelry,3,1818.31,1284.4,5475.51,Festival Sale,27,06-04-2024,09-04-2024,71131100,3
06-04-2024,Silver Bracelet,Jewelry,4,5453.47,2701.88,21475.96,No Promotion,0,06-04-2024,11-04-2024,71131100,3
06-04-2024,Backpack Purse,Handbags,5,5900.49,3784.53,29043.65,Seasonal Offer,19,06-04-2024,11-04-2024,42022290,18
06-04-2024,Cat Eye Sunglasses,Sunglasses,1,4555.56,2208.75,4562.63,No Promotion,0,06-04-2024,07-04-2024,90041000,12
06-04-2024,Leather Tote Bag,Handbags,1,2414.39,1640.21,2371.99,Seasonal Offer,15,06-04-2024,13-04-2024,42022290,18
06-04-2024,Pearl Necklace,Jewelry,7,4977.4,2918.58,34189.68,No Promotion,0,06-04-2024,07-04-2024,71131100,3
06-04-2024,Hair Clip Set,Hair Accessories,1,792.23,549.3,801.29,Seasonal Offer,13,06-04-2024,10-04-2024,96151900,18
06-04-2024,Waist Belt,Belts,6,883.83,634.42,5396.52,No Promotion,0,06-04-2024,07-04-2024,42033000,18
08-04-2024,Leather Belt,Belts,2,838.23,829.07,1687.86,Clearance Sale,50,08-04-2024,09-04-2024,42033000,18
08-04-2024,Oversized Sunglasses,Sunglasses,9,1112.2,950.08,10014.3,Clearance Sale,41,08-04-2024,09-04-2024,90041000,12
08-04-2024,Shoulder Bag,Handbags,2,5836.51,3338.45,11866.36,No Promotion,0,08-04-2024,11-04-2024,42022290,18
08-04-2024,Cat Eye Sunglasses,Sunglasses,1,2896.43,2117.64,2938.67,Flash Sale,27,08-04-2024,15-04-2024,90041000,12
08-04-2024,Leather Tote Bag,Handbags,2,2284.52,3507.76,4484.42,Clearance Sale,60,08-04-2024,11-04-2024,42022290,18
08-04-2024,Leather Belt,Belts,3,544.22,616.27,1617.3,Clearance Sale,40,08-04-2024,09-04-2024,42033000,18
08-04-2024,Cotton Scarf,Scarves,3,425.19,515.42,1256.73,Clearance Sale,49,08-04-2024,10-04-2024,62143000,12
08-04-2024,Hair Clip Set,Hair Accessories,1,764.92,510.63,750.77,No Promotion,0,08-04-2024,10-04-2024,96151900,18
08-04-2024,Cat Eye Sunglasses,Sunglasses,1,4067.43,2003.14,4087.35,No Promotion,0,08-04-2024,11-04-2024,90041000,12
08-04-2024,Silk Scarf,Scarves,7,1806.74,1429.83,12552.82,Seasonal Offer,13,08-04-2024,14-04-2024,62143000,12
09-04-2024,Analog Watch,Watches,5,2824.34,2238,14302.45,Festival Sale,27,09-04-2024,16-04-2024,91021100,18
09-04-2024,Fabric Belt,Belts,4,856.36,826.34,3418.36,Festival Sale,27,09-04-2024,16-04-2024,42033000,18
09-04-2024,Analog Watch,Watches,7,6188.15,5282.04,43825.67,Festival Sale,23,09-04-2024,14-04-2024,91021100,18
09-04-2024,Statement Necklace,Jewelry,4,4440.38,2721.53,18006.08,Festival Sale,22,09-04-2024,10-04-2024,71131100,3
09-04-2024,Pashmina Shawl,Scarves,1,1714.87,1187.41,1742.86,Flash Sale,31,09-04-2024,15-04-2024,62143000,12
09-04-2024,Leather Belt,Belts,3,1989.97,946.12,5950.92,No Promotion,0,09-04-2024,10-04-2024,42033000,18
09-04-2024,Headband,Hair Accessories,3,1023.97,714.79,3017.61,No Promotion,0,09-04-2024,15-04-2024,96151900,18
09-04-2024,Cat Eye Sunglasses,Sunglasses,3,2066.56,1618.04,6294.81,Flash Sale,33,09-04-2024,13-04-2024,90041000,12
09-04-2024,Hair Clip Set,Hair Accessories,6,949.51,563.32,5696.52,No Promotion,0,09-04-2024,10-04-2024,96151900,18
09-04-2024,Sports Watch,Watches,3,5934.02,5714.73,17669.85,Festival Sale,28,09-04-2024,13-04-2024,91021100,18
10-04-2024,Cotton Scarf,Scarves,4,549.05,419.12,2196.56,Festival Sale,21,10-04-2024,15-04-2024,62143000,12
10-04-2024,Headband,Hair Accessories,3,537.89,321.11,1587.51,Seasonal Offer,15,10-04-2024,11-04-2024,96151900,18
10-04-2024,Digital Watch,Watches,4,2532.27,3184.34,10266.12,Clearance Sale,43,10-04-2024,13-04-2024,91021100,18
10-04-2024,Sports Watch,Watches,2,8220.91,4501.37,16760.84,No Promotion,0,10-04-2024,11-04-2024,91021100,18
10-04-2024,Leather Belt,Belts,4,967.3,726.67,3887.36,Seasonal Offer,18,10-04-2024,15-04-2024,42033000,18
10-04-2024,Silk Scarf,Scarves,1,979.13,532.23,976.96,No Promotion,0,10-04-2024,17-04-2024,62143000,12
10-04-2024,Sports Watch,Watches,3,4561.46,3211.89,13820.1,Festival Sale,22,10-04-2024,12-04-2024,91021100,18
10-04-2024,Pearl Necklace,Jewelry,2,3374,1635.53,6838.7,No Promotion,0,10-04-2024,12-04-2024,71131100,3
10-04-2024,Waist Belt,Belts,6,2200.68,1267.37,13045.02,No Promotion,0,10-04-2024,14-04-2024,42033000,18
10-04-2024,Cotton Scarf,Scarves,1,692.24,466.29,700.97,Festival Sale,30,10-04-2024,16-04-2024,62143000,12
10-04-2024,Winter Wool Scarf,Scarves,3,1805.5,1283.33,5428.95,Festival Sale,23,10-04-2024,17-04-2024,62143000,12
10-04-2024,Dress Watch,Watches,2,4292.93,2316.47,8432.56,No Promotion,0,10-04-2024,14-04-2024,91021100,18
10-04-2024,Aviator Sunglasses,Sunglasses,1,2219.2,1497.62,2209.24,Festival Sale,19,10-04-2024,11-04-2024,90041000,12
10-04-2024,Pearl Necklace,Jewelry,4,3421.99,2222.53,13689.2,No Promotion,0,10-04-2024,14-04-2024,71131100,3
10-04-2024,Headband,Hair Accessories,2,1372.85,685.72,2761.14,No Promotion,0,10-04-2024,11-04-2024,96151900,18
10-04-2024,Sports Watch,Watches,3,2741.74,1930.72,8218.53,No Promotion,0,10-04-2024,16-04-2024,91021100,18
10-04-2024,Crossbody Bag,Handbags,4,4251.5,2243.25,16848.08,No Promotion,0,10-04-2024,14-04-2024,42022290,18
10-04-2024,Gold Plated Earrings,Jewelry,3,5707.54,2792.15,16904.52,No Promotion,0,10-04-2024,17-04-2024,71131100,3
10-04-2024,Turban,Hair Accessories,5,748.13,511.44,3718.35,No Promotion,0,10-04-2024,16-04-2024,96151900,18
10-04-2024,Statement Necklace,Jewelry,2,3455.1,2256.05,6830.88,Festival Sale,18,10-04-2024,15-04-2024,71131100,3
10-04-2024,Analog Watch,Watches,2,3852.21,2267.15,7833.38,No Promotion,0,10-04-2024,13-04-2024,91021100,18
10-04-2024,Sports Sunglasses,Sunglasses,1,1143.17,1091.73,1165.82,Clearance Sale,51,10-04-2024,16-04-2024,90041000,12
10-04-2024,Waist Belt,Belts,4,2187.57,1473.02,8669,No Promotion,0,10-04-2024,12-04-2024,42033000,18
10-04-2024,Chain Belt,Belts,3,1393.01,1133.27,4219.26,Flash Sale,26,10-04-2024,13-04-2024,42033000,18
10-04-2024,Round Frame,Sunglasses,4,2464.3,1819.34,9710.52,Festival Sale,28,10-04-2024,16-04-2024,90041000,12
11-04-2024,Round Frame,Sunglasses,1,3562.24,2164.05,3557.14,No Promotion,0,11-04-2024,13-04-2024,90041000,12
11-04-2024,Oversized Sunglasses,Sunglasses,6,3389.51,1816.87,20354.52,Seasonal Offer,13,11-04-2024,12-04-2024,90041000,12
11-04-2024,Aviator Sunglasses,Sunglasses,4,1428.56,1966.09,5652.56,Clearance Sale,52,11-04-2024,15-04-2024,90041000,12
11-04-2024,Charm Bracelet,Jewelry,3,1993.79,1032.46,5924.25,No Promotion,0,11-04-2024,13-04-2024,71131100,3
11-04-2024,Crossbody Bag,Handbags,3,6143.11,3041.49,18279.96,No Promotion,0,11-04-2024,17-04-2024,42022290,18
11-04-2024,Printed Scarf,Scarves,2,2074.44,1079.86,4117.6,No Promotion,0,11-04-2024,17-04-2024,62143000,12
11-04-2024,Digital Watch,Watches,2,3173.26,2088.2,6342.62,Festival Sale,28,11-04-2024,16-04-2024,91021100,18
11-04-2024,Sports Sunglasses,Sunglasses,1,1617.35,917.65,1590.22,No Promotion,0,11-04-2024,13-04-2024,90041000,12
11-04-2024,Sports Watch,Watches,5,2509.19,2468.41,12352.95,Festival Sale,29,11-04-2024,18-04-2024,91021100,18
11-04-2024,Chain Belt,Belts,5,1212.32,778.08,6103.25,Flash Sale,25,11-04-2024,12-04-2024,42033000,18
11-04-2024,Leather Tote Bag,Handbags,2,5811.69,3814.91,11483.42,Seasonal Offer,14,11-04-2024,18-04-2024,42022290,18
11-04-2024,Silver Bracelet,Jewelry,3,1984.26,1790.27,5861.1,Flash Sale,31,11-04-2024,16-04-2024,71131100,3
11-04-2024,Clutch Purse,Handbags,1,5927.16,3704.34,5899.26,Festival Sale,22,11-04-2024,17-04-2024,42022290,18
11-04-2024,Scrunchie Pack,Hair Accessories,5,1199.21,782.45,5982.75,Festival Sale,29,11-04-2024,15-04-2024,96151900,18
11-04-2024,Leather Tote Bag,Handbags,1,9558.23,4908.77,9492.96,No Promotion,0,11-04-2024,12-04-2024,42022290,18
11-04-2024,Leather Tote Bag,Handbags,7,2273.5,3215.15,16131.92,Clearance Sale,50,11-04-2024,12-04-2024,42022290,18
11-04-2024,Pearl Necklace,Jewelry,4,2779.18,1618.77,11303.28,No Promotion,0,11-04-2024,16-04-2024,71131100,3
11-04-2024,Pashmina Shawl,Scarves,6,1345.25,1297.54,7969.44,Clearance Sale,51,11-04-2024,17-04-2024,62143000,12
11-04-2024,Round Frame,Sunglasses,4,1491.41,1330.93,5948.2,Flash Sale,39,11-04-2024,15-04-2024,90041000,12
11-04-2024,Fabric Belt,Belts,2,3264.14,1661.46,6628.36,No Promotion,0,11-04-2024,12-04-2024,42033000,18
11-04-2024,Chain Belt,Belts,3,2510.94,1381.26,7558.11,Seasonal Offer,11,11-04-2024,13-04-2024,42033000,18
12-04-2024,Smart Watch,Watches,3,1920.64,2346.11,5808.81,Clearance Sale,51,12-04-2024,18-04-2024,91021100,18
12-04-2024,Crossbody Bag,Handbags,5,8051.13,4082.97,39660,No Promotion,0,12-04-2024,14-04-2024,42022290,18
12-04-2024,Round Frame,Sunglasses,1,2163.7,1120.52,2163.08,No Promotion,0,12-04-2024,18-04-2024,90041000,12
12-04-2024,Hair Pin Set,Hair Accessories,4,790.43,676.52,3151.96,Festival Sale,21,12-04-2024,18-04-2024,96151900,18
12-04-2024,Gold Plated Earrings,Jewelry,3,1461.02,2124.72,4429.98,Clearance Sale,51,12-04-2024,18-04-2024,71131100,3
12-04-2024,Waist Belt,Belts,1,1972.25,1324.18,1948.94,Festival Sale,16,12-04-2024,13-04-2024,42033000,18
12-04-2024,Printed Scarf,Scarves,8,1947.2,1209.23,15314.16,Festival Sale,28,12-04-2024,19-04-2024,62143000,12
12-04-2024,Crossbody Bag,Handbags,3,5375.83,3433.52,15940.98,No Promotion,0,12-04-2024,17-04-2024,42022290,18
12-04-2024,Aviator Sunglasses,Sunglasses,1,4835.62,2387.39,4837,No Promotion,0,12-04-2024,17-04-2024,90041000,12
12-04-2024,Hair Clip Set,Hair Accessories,2,884.06,461.11,1744.74,Seasonal Offer,12,12-04-2024,13-04-2024,96151900,18
12-04-2024,Hair Clip Set,Hair Accessories,7,550.7,295.34,3903.62,No Promotion,0,12-04-2024,16-04-2024,96151900,18
12-04-2024,Smart Watch,Watches,5,5475.89,2740.26,27809.5,No Promotion,0,12-04-2024,15-04-2024,91021100,18
12-04-2024,Headband,Hair Accessories,6,459.81,743.86,2765.7,Clearance Sale,59,12-04-2024,19-04-2024,96151900,18
12-04-2024,Chain Belt,Belts,4,1974.35,1759.02,7999.28,Clearance Sale,44,12-04-2024,15-04-2024,42033000,18
12-04-2024,Silk Scarf,Scarves,2,1583.03,1441.74,3196.86,Clearance Sale,49,12-04-2024,18-04-2024,62143000,12
12-04-2024,Analog Watch,Watches,3,2539.21,3855.26,7591.77,Clearance Sale,56,12-04-2024,18-04-2024,91021100,18
12-04-2024,Cat Eye Sunglasses,Sunglasses,13,2558.06,1675.51,33383.09,No Promotion,0,12-04-2024,16-04-2024,90041000,12
12-04-2024,Pashmina Shawl,Scarves,8,3047.63,1475.87,24029.36,No Promotion,0,12-04-2024,19-04-2024,62143000,12
12-04-2024,Oversized Sunglasses,Sunglasses,6,3608.09,2292.93,21888.78,No Promotion,0,12-04-2024,16-04-2024,90041000,12
12-04-2024,Crossbody Bag,Handbags,6,3650.73,3091.69,21477.6,Festival Sale,22,12-04-2024,13-04-2024,42022290,18
12-04-2024,Turban,Hair Accessories,4,576.78,580.75,2320.16,Clearance Sale,51,12-04-2024,15-04-2024,96151900,18
13-04-2024,Cotton Scarf,Scarves,2,1541.77,704.59,3081.64,No Promotion,0,13-04-2024,17-04-2024,62143000,12
13-04-2024,Winter Wool Scarf,Scarves,4,1005.77,884.36,4083.12,Flash Sale,39,13-04-2024,18-04-2024,62143000,12
